year,meat_type,idr_percent,data_status
2020,Poultry,4.1,Official
2020,Pork,5.8,Official
2020,Beef,79.0,Official
2020,Mutton,90.6,Official
2021,Poultry,5.9,Official
2021,Pork,7.1,Official
2021,Beef,81.6,Official
2021,Mutton,89.4,Official
2022,Poultry,10.3,Official
2022,Pork,15.6,Official
2022,Beef,85.6,Official
2022,Mutton,91.5,Official
2023,Poultry,13.3,Official
2023,Pork,30.6,Official
2023,Beef,84.5,Official
2023,Mutton,89.6,Official
2024,Poultry,10.7,Official
2024,Pork,32.4,Official
2024,Beef,83.5,Official
2024,Mutton,92.1,Official
2025,Poultry,15.1,Projected
2025,Pork,41.3,Projected
2025,Beef,86.4,Projected
2025,Mutton,91.6,Projected
2026,Poultry,17.1,Projected
2026,Pork,49.0,Projected
2026,Beef,87.6,Projected
2026,Mutton,91.9,Projected
