year,meat_type,pcc_kg_per_person,data_status
2020,Poultry,48.58,Official
2020,Pork,19.19,Official
2020,Beef,5.52,Official
2020,Mutton,1.28,Official
2021,Poultry,47.73,Official
2021,Pork,17.38,Official
2021,Beef,5.52,Official
2021,Mutton,1.01,Official
2022,Poultry,49.54,Official
2022,Pork,17.61,Official
2022,Beef,6.88,Official
2022,Mutton,1.44,Official
2023,Poultry,50.75,Official
2023,Pork,16.99,Official
2023,Beef,6.71,Official
2023,Mutton,1.23,Official
2024,Poultry,56.34,Official
2024,Pork,15.84,Official
2024,Beef,6.83,Official
2024,Mutton,1.47,Official
2025,Poultry,56.15,Projected
2025,Pork,15.27,Projected
2025,Beef,7.43,Projected
2025,Mutton,1.47,Projected
2026,Poultry,58.01,Projected
2026,Pork,14.57,Projected
2026,Beef,7.81,Projected
2026,Mutton,1.53,Projected
